model,direction,accuracy,balanced_accuracy,macro_f1,weighted_f1
PCA + LR,batch1_to_batch2,0.8285360824742268,0.8007674632558063,0.7462575626085457,0.8302544428146291
PCA + LR,batch2_to_batch1,0.9309832050384884,0.9145135021458188,0.9013956167996996,0.9310983262394044
PCA + MLP,batch1_to_batch2,0.7722061855670103,0.6887769497048186,0.7131201374341793,0.7545444763640681
PCA + MLP,batch2_to_batch1,0.9113016095171448,0.8525607999401184,0.8687486677735624,0.9099869793231976
Final SupDAE,batch1_to_batch2,0.8995876288659794,0.7503755248524817,0.7501922386965336,0.8987390476415228
Final SupDAE,batch2_to_batch1,0.9292337298810356,0.8650951049627141,0.8850876670703475,0.9266321613012336
