model,direction,accuracy,balanced_accuracy,macro_f1,weighted_f1
PCA + LR,batch2_ctrl_to_stim,0.8925681875052132,0.8470606799149838,0.8183318720369086,0.8968575876545682
PCA + LR,batch2_stim_to_ctrl,0.8484626050077482,0.8600064714830877,0.7755774756061014,0.8492516959895016
PCA + MLP,batch2_ctrl_to_stim,0.8005671865877054,0.7331595315783557,0.7565464992777791,0.7864335825494819
PCA + MLP,batch2_stim_to_ctrl,0.8381045591713563,0.7880279349743906,0.7826433240729158,0.8332985004932435
Final SupDAE,batch2_ctrl_to_stim,0.9045791975977979,0.7461781456276211,0.7650239999488817,0.9026289086658512
Final SupDAE,batch2_stim_to_ctrl,0.9379332843976838,0.8194921196519689,0.8379584221988567,0.9363427616224944
