representation,classifier,n_cells,accuracy,balanced_accuracy,macro_f1,weighted_f1,delta_accuracy_vs_pca,delta_balanced_accuracy_vs_pca,delta_macro_f1_vs_pca
PCA-50,Logistic Regression,5283,0.9218247208025744,0.8940321347623869,0.8503612197773203,0.9244166304171628,0.0,0.0,0.0
DAE-32 + LR,Logistic Regression,5283,0.8640923717584705,0.7972977350249649,0.751629198328027,0.8840550933770064,-0.05773234904410385,-0.09673439973742193,-0.09873202144929327
SupDAE w=1.0,Supervised Head,5283,0.932992617830778,0.8343094866234286,0.8660801821992129,0.9328653746849048,0.011167897028203644,-0.05972264813895822,0.015718962421892635
SupDAE w=0.5,Supervised Head,5283,0.9320461858792352,0.8344096409796014,0.8659340813474046,0.9320703374330844,0.010221465076660774,-0.0596224937827855,0.015572861570084306
SupDAE w=2.0,Supervised Head,5283,0.932992617830778,0.8352838701290263,0.8671329593739787,0.9330378886754288,0.011167897028203644,-0.05874826463336058,0.016771739596658453
