cell_type,PCA-50,SupDAE w=2.0,delta
CD8 T cells,0.8007380073800738,0.7948003714020427,-0.005937635978031097
CD4 T cells,0.959964213822411,0.9613601236476044,0.001395909825193331
Megakaryocytes,0.64,0.6428571428571429,0.0028571428571428914
NK cells,0.9077412513255568,0.9188034188034188,0.011062167477861928
CD14+ Monocytes,0.948504168710152,0.9602272727272728,0.011723104017120844
B cells,0.9599271402550092,0.9757412398921832,0.01581409963717395
FCGR3A+ Monocytes,0.8209876543209876,0.8689883913764511,0.04800073705546348
Dendritic cells,0.7650273224043715,0.8142857142857143,0.049258391881342733
