shift_task,split,n_train,n_eval,n_input_hvgs,n_pcs,accuracy,balanced_accuracy,macro_f1,weighted_f1
batch1_to_batch2,val,9611,1697,3656,50,0.9281084266352386,0.9160174536035368,0.9016693299193287,0.9287413338981025
batch1_to_batch2,shift_test,9611,23906,3656,50,0.8453526311386262,0.7995561767711962,0.7345733755583446,0.8676842288606642
batch2_to_batch1,val,20320,3586,3656,50,0.9247071946458449,0.9099815376500077,0.8467782597104896,0.9278557427309074
batch2_to_batch1,shift_test,20320,11308,3656,50,0.8989211177927131,0.8971390206346643,0.7927252102269218,0.9061990149981567
ctrl_to_stim,val,10282,1815,3656,50,0.9327823691460055,0.8821832162571529,0.8576657345431968,0.9343490113003845
ctrl_to_stim,shift_test,10282,11809,3656,50,0.84444068083665,0.80702550542735,0.7574073394103381,0.853347192529927
stim_to_ctrl,val,10037,1772,3656,50,0.922686230248307,0.8847782160943569,0.8543459298117989,0.9238980726972347
stim_to_ctrl,shift_test,10037,12097,3656,50,0.9025378192940399,0.875267460360422,0.8131453538193885,0.9080636776389635
