cell_type,PCA-50,SupDAE-32-head-w0.5-noise0.10,delta_f1
NK cells,0.9171717171717172,0.917864476386037,0.0006927592143197714
B cells,0.9703504043126684,0.9714795008912656,0.0011290965785971663
CD4 T cells,0.959375,0.9730082716586852,0.01363327165868522
CD8 T cells,0.806390977443609,0.82025819265144,0.013867215207830963
CD14+ Monocytes,0.9383070301291248,0.9627243442245744,0.02441731409544967
Dendritic cells,0.8223350253807107,0.874251497005988,0.05191647162527735
FCGR3A+ Monocytes,0.8125937031484258,0.8745874587458746,0.061993755597448796
Megakaryocytes,0.6346153846153846,0.7936507936507936,0.15903540903540903
