representation,display_label,classifier,accuracy,balanced_accuracy,macro_f1,weighted_f1,delta_accuracy_vs_pca,delta_bal_acc_vs_pca,delta_macro_f1_vs_pca
PCA-50,PCA-50,Logistic Regression,0.922473379413413,0.9007771385482044,0.8576424052752051,0.9245740410847236,0.0,0.0,0.0
DAE-32-LR-noise0.10,DAE-32 + LR,Logistic Regression,0.8677377171679432,0.819359272529819,0.764491412176125,0.8866211308994421,-0.054735662245469774,-0.08141786601838541,-0.09315099309908004
SupDAE-32-head-noise0.10,SupDAE w=1.0,Supervised Head,0.940780870539884,0.8324869874156615,0.8758882329171562,0.9387637978345904,0.01830749112647101,-0.06829015113254289,0.01824582764195115
SupDAE-32-head-w0.5-noise0.10,SupDAE w=0.5,Supervised Head,0.9432094152811508,0.8683864992976987,0.8984780669018323,0.9424476786737438,0.020736035867737757,-0.03239063925050567,0.04083566162662722
SupDAE-32-head-w2.0-noise0.10,SupDAE w=2.0,Supervised Head,0.9404072482719972,0.8322725003886887,0.8755632629139325,0.9383591501184844,0.017933868858584168,-0.06850463815951569,0.017920857638727417
