cell_type,precision,recall,f1_score,support,representation,split
B cells,0.9797421731123389,0.9637681159420289,0.971689497716895,552.0,PCA-50,val
CD14+ Monocytes,0.9786585365853658,0.9250720461095101,0.9511111111111111,1041.0,PCA-50,val
CD4 T cells,0.9803203661327231,0.941952506596306,0.9607535321821036,2274.0,PCA-50,val
CD8 T cells,0.7597173144876325,0.86,0.8067542213883677,500.0,PCA-50,val
Dendritic cells,0.6491228070175439,0.9024390243902439,0.7551020408163265,82.0,PCA-50,val
FCGR3A+ Monocytes,0.8147058823529412,0.8906752411575563,0.8509984639016898,311.0,PCA-50,val
Megakaryocytes,0.45714285714285713,0.8648648648648649,0.5981308411214953,37.0,PCA-50,val
NK cells,0.9125,0.9030927835051547,0.9077720207253887,485.0,PCA-50,val
B cells,0.9669724770642202,0.9529837251356239,0.9599271402550091,553.0,PCA-50,test
CD14+ Monocytes,0.968937875751503,0.9289145052833814,0.9485041687101521,1041.0,PCA-50,test
CD4 T cells,0.9772313296903461,0.9432967032967033,0.959964213822411,2275.0,PCA-50,test
CD8 T cells,0.7431506849315068,0.868,0.8007380073800738,500.0,PCA-50,test
Dendritic cells,0.693069306930693,0.8536585365853658,0.7650273224043715,82.0,PCA-50,test
FCGR3A+ Monocytes,0.7869822485207101,0.8580645161290322,0.8209876543209876,310.0,PCA-50,test
Megakaryocytes,0.5079365079365079,0.8648648648648649,0.64,37.0,PCA-50,test
NK cells,0.9344978165938864,0.8824742268041237,0.9077412513255567,485.0,PCA-50,test
B cells,0.9732620320855615,0.9891304347826086,0.9811320754716981,552.0,SupDAE-32-head-w2.0-noise0.10,val
CD14+ Monocytes,0.9507434944237918,0.9827089337175793,0.9664619744922059,1041.0,SupDAE-32-head-w2.0-noise0.10,val
CD4 T cells,0.9724689165186501,0.9630606860158312,0.967741935483871,2274.0,SupDAE-32-head-w2.0-noise0.10,val
CD8 T cells,0.7452667814113597,0.866,0.8011100832562442,500.0,SupDAE-32-head-w2.0-noise0.10,val
Dendritic cells,0.9253731343283582,0.7560975609756098,0.8322147651006712,82.0,SupDAE-32-head-w2.0-noise0.10,val
FCGR3A+ Monocytes,0.9323843416370107,0.842443729903537,0.8851351351351351,311.0,SupDAE-32-head-w2.0-noise0.10,val
Megakaryocytes,0.9411764705882353,0.43243243243243246,0.5925925925925926,37.0,SupDAE-32-head-w2.0-noise0.10,val
NK cells,0.9373601789709173,0.8639175257731959,0.8991416309012875,485.0,SupDAE-32-head-w2.0-noise0.10,val
B cells,0.9696428571428571,0.9819168173598554,0.9757412398921833,553.0,SupDAE-32-head-w2.0-noise0.10,test
CD14+ Monocytes,0.9467787114845938,0.9740634005763689,0.9602272727272727,1041.0,SupDAE-32-head-w2.0-noise0.10,test
CD4 T cells,0.9658385093167702,0.9569230769230769,0.9613601236476044,2275.0,SupDAE-32-head-w2.0-noise0.10,test
CD8 T cells,0.7417677642980935,0.856,0.7948003714020427,500.0,SupDAE-32-head-w2.0-noise0.10,test
Dendritic cells,0.9827586206896551,0.6951219512195121,0.8142857142857143,82.0,SupDAE-32-head-w2.0-noise0.10,test
FCGR3A+ Monocytes,0.89419795221843,0.8451612903225807,0.8689883913764511,310.0,SupDAE-32-head-w2.0-noise0.10,test
Megakaryocytes,0.9473684210526315,0.4864864864864865,0.6428571428571429,37.0,SupDAE-32-head-w2.0-noise0.10,test
NK cells,0.9534368070953437,0.8865979381443299,0.9188034188034188,485.0,SupDAE-32-head-w2.0-noise0.10,test
