representation,classifier,split,n_cells,accuracy,balanced_accuracy,macro_f1,weighted_f1
PCA-50,Logistic Regression,val,5282,0.9254070427868232,0.9064830728207081,0.8502889661204223,0.9283584008096087
PCA-50,Logistic Regression,test,5283,0.9218247208025743,0.8940321347623869,0.8503612197773203,0.9244166304171628
SupDAE-32-head-noise0.10,Supervised Head,val,5282,0.9388489208633094,0.8414107638187386,0.8704954317936714,0.938741188438733
SupDAE-32-head-noise0.10,Supervised Head,test,5283,0.9329926178307779,0.8343094866234286,0.8660801821992129,0.9328653746849049
