representation,classifier,split,n_cells,accuracy,balanced_accuracy,macro_f1,weighted_f1
PCA-50,Logistic Regression,val,5282,0.9254070427868232,0.9064830728207081,0.8502889661204223,0.9283584008096087
PCA-50,Logistic Regression,test,5283,0.9218247208025743,0.8940321347623869,0.8503612197773203,0.9244166304171628
SupDAE-32-head-w0.5-noise0.10,Supervised Head,val,5282,0.9394168875425976,0.8421492370929013,0.8703862429757958,0.9393469279462915
SupDAE-32-head-w0.5-noise0.10,Supervised Head,test,5283,0.9320461858792353,0.8344096409796014,0.8659340813474046,0.9320703374330844
