epoch,train_loss,train_recon_loss,train_class_loss,val_loss,val_recon_loss,val_class_loss
1,0.16697070578389644,0.16697070578389644,0.0,0.1437753091033086,0.1437753091033086,0.0
2,0.14002793263209212,0.14002793263209212,0.0,0.13612395070593453,0.13612395070593453,0.0
3,0.13559914020177205,0.13559914020177205,0.0,0.13411253171740448,0.13411253171740448,0.0
4,0.1342221299548706,0.1342221299548706,0.0,0.13306505530404403,0.13306505530404403,0.0
5,0.13309748993878007,0.13309748993878007,0.0,0.13179996667599642,0.13179996667599642,0.0
6,0.13205435625982373,0.13205435625982373,0.0,0.13123693759309515,0.13123693759309515,0.0
7,0.1316236662873992,0.1316236662873992,0.0,0.1308361153787918,0.1308361153787918,0.0
8,0.13126161276194037,0.13126161276194037,0.0,0.13065556820999882,0.13065556820999882,0.0
9,0.1310680642012299,0.1310680642012299,0.0,0.13056799145735612,0.13056799145735612,0.0
10,0.13085011666340926,0.13085011666340926,0.0,0.13032867370788648,0.13032867370788648,0.0
