true_label,predicted_label,count,representation,split
CD14+ Monocytes,CD14+ Monocytes,1023,SupDAE-32-head-w2.0-noise0.10,val
CD4 T cells,CD14+ Monocytes,0,SupDAE-32-head-w2.0-noise0.10,val
CD8 T cells,CD14+ Monocytes,0,SupDAE-32-head-w2.0-noise0.10,val
Dendritic cells,CD14+ Monocytes,10,SupDAE-32-head-w2.0-noise0.10,val
FCGR3A+ Monocytes,CD14+ Monocytes,39,SupDAE-32-head-w2.0-noise0.10,val
Megakaryocytes,CD14+ Monocytes,4,SupDAE-32-head-w2.0-noise0.10,val
NK cells,CD14+ Monocytes,0,SupDAE-32-head-w2.0-noise0.10,val
B cells,CD4 T cells,5,SupDAE-32-head-w2.0-noise0.10,val
CD14+ Monocytes,CD4 T cells,1,SupDAE-32-head-w2.0-noise0.10,val
CD4 T cells,CD4 T cells,2190,SupDAE-32-head-w2.0-noise0.10,val
CD8 T cells,CD4 T cells,40,SupDAE-32-head-w2.0-noise0.10,val
Dendritic cells,CD4 T cells,1,SupDAE-32-head-w2.0-noise0.10,val
FCGR3A+ Monocytes,CD4 T cells,3,SupDAE-32-head-w2.0-noise0.10,val
Megakaryocytes,CD4 T cells,11,SupDAE-32-head-w2.0-noise0.10,val
NK cells,CD4 T cells,1,SupDAE-32-head-w2.0-noise0.10,val
B cells,CD8 T cells,1,SupDAE-32-head-w2.0-noise0.10,val
CD14+ Monocytes,CD8 T cells,0,SupDAE-32-head-w2.0-noise0.10,val
CD4 T cells,CD8 T cells,81,SupDAE-32-head-w2.0-noise0.10,val
CD8 T cells,CD8 T cells,433,SupDAE-32-head-w2.0-noise0.10,val
Dendritic cells,CD8 T cells,1,SupDAE-32-head-w2.0-noise0.10,val
FCGR3A+ Monocytes,CD8 T cells,1,SupDAE-32-head-w2.0-noise0.10,val
Megakaryocytes,CD8 T cells,0,SupDAE-32-head-w2.0-noise0.10,val
NK cells,CD8 T cells,64,SupDAE-32-head-w2.0-noise0.10,val
B cells,Dendritic cells,0,SupDAE-32-head-w2.0-noise0.10,val
CD14+ Monocytes,Dendritic cells,1,SupDAE-32-head-w2.0-noise0.10,val
CD4 T cells,Dendritic cells,0,SupDAE-32-head-w2.0-noise0.10,val
CD8 T cells,Dendritic cells,0,SupDAE-32-head-w2.0-noise0.10,val
Dendritic cells,Dendritic cells,62,SupDAE-32-head-w2.0-noise0.10,val
FCGR3A+ Monocytes,Dendritic cells,4,SupDAE-32-head-w2.0-noise0.10,val
Megakaryocytes,Dendritic cells,0,SupDAE-32-head-w2.0-noise0.10,val
NK cells,Dendritic cells,0,SupDAE-32-head-w2.0-noise0.10,val
B cells,FCGR3A+ Monocytes,0,SupDAE-32-head-w2.0-noise0.10,val
CD14+ Monocytes,FCGR3A+ Monocytes,16,SupDAE-32-head-w2.0-noise0.10,val
CD4 T cells,FCGR3A+ Monocytes,0,SupDAE-32-head-w2.0-noise0.10,val
CD8 T cells,FCGR3A+ Monocytes,0,SupDAE-32-head-w2.0-noise0.10,val
Dendritic cells,FCGR3A+ Monocytes,2,SupDAE-32-head-w2.0-noise0.10,val
FCGR3A+ Monocytes,FCGR3A+ Monocytes,262,SupDAE-32-head-w2.0-noise0.10,val
Megakaryocytes,FCGR3A+ Monocytes,1,SupDAE-32-head-w2.0-noise0.10,val
NK cells,FCGR3A+ Monocytes,0,SupDAE-32-head-w2.0-noise0.10,val
B cells,Megakaryocytes,0,SupDAE-32-head-w2.0-noise0.10,val
CD14+ Monocytes,Megakaryocytes,0,SupDAE-32-head-w2.0-noise0.10,val
CD4 T cells,Megakaryocytes,0,SupDAE-32-head-w2.0-noise0.10,val
CD8 T cells,Megakaryocytes,1,SupDAE-32-head-w2.0-noise0.10,val
Dendritic cells,Megakaryocytes,0,SupDAE-32-head-w2.0-noise0.10,val
FCGR3A+ Monocytes,Megakaryocytes,0,SupDAE-32-head-w2.0-noise0.10,val
Megakaryocytes,Megakaryocytes,16,SupDAE-32-head-w2.0-noise0.10,val
NK cells,Megakaryocytes,0,SupDAE-32-head-w2.0-noise0.10,val
B cells,NK cells,0,SupDAE-32-head-w2.0-noise0.10,val
CD14+ Monocytes,NK cells,0,SupDAE-32-head-w2.0-noise0.10,val
CD4 T cells,NK cells,1,SupDAE-32-head-w2.0-noise0.10,val
CD8 T cells,NK cells,25,SupDAE-32-head-w2.0-noise0.10,val
Dendritic cells,NK cells,0,SupDAE-32-head-w2.0-noise0.10,val
FCGR3A+ Monocytes,NK cells,1,SupDAE-32-head-w2.0-noise0.10,val
Megakaryocytes,NK cells,1,SupDAE-32-head-w2.0-noise0.10,val
NK cells,NK cells,419,SupDAE-32-head-w2.0-noise0.10,val
B cells,B cells,543,SupDAE-32-head-w2.0-noise0.10,test
CD14+ Monocytes,B cells,0,SupDAE-32-head-w2.0-noise0.10,test
CD4 T cells,B cells,3,SupDAE-32-head-w2.0-noise0.10,test
CD8 T cells,B cells,1,SupDAE-32-head-w2.0-noise0.10,test
Dendritic cells,B cells,6,SupDAE-32-head-w2.0-noise0.10,test
FCGR3A+ Monocytes,B cells,3,SupDAE-32-head-w2.0-noise0.10,test
Megakaryocytes,B cells,4,SupDAE-32-head-w2.0-noise0.10,test
NK cells,B cells,0,SupDAE-32-head-w2.0-noise0.10,test
B cells,CD14+ Monocytes,0,SupDAE-32-head-w2.0-noise0.10,test
CD14+ Monocytes,CD14+ Monocytes,1014,SupDAE-32-head-w2.0-noise0.10,test
CD4 T cells,CD14+ Monocytes,1,SupDAE-32-head-w2.0-noise0.10,test
CD8 T cells,CD14+ Monocytes,0,SupDAE-32-head-w2.0-noise0.10,test
Dendritic cells,CD14+ Monocytes,15,SupDAE-32-head-w2.0-noise0.10,test
FCGR3A+ Monocytes,CD14+ Monocytes,38,SupDAE-32-head-w2.0-noise0.10,test
Megakaryocytes,CD14+ Monocytes,2,SupDAE-32-head-w2.0-noise0.10,test
NK cells,CD14+ Monocytes,1,SupDAE-32-head-w2.0-noise0.10,test
B cells,CD4 T cells,10,SupDAE-32-head-w2.0-noise0.10,test
CD14+ Monocytes,CD4 T cells,0,SupDAE-32-head-w2.0-noise0.10,test
CD4 T cells,CD4 T cells,2177,SupDAE-32-head-w2.0-noise0.10,test
CD8 T cells,CD4 T cells,50,SupDAE-32-head-w2.0-noise0.10,test
Dendritic cells,CD4 T cells,3,SupDAE-32-head-w2.0-noise0.10,test
FCGR3A+ Monocytes,CD4 T cells,3,SupDAE-32-head-w2.0-noise0.10,test
Megakaryocytes,CD4 T cells,10,SupDAE-32-head-w2.0-noise0.10,test
NK cells,CD4 T cells,1,SupDAE-32-head-w2.0-noise0.10,test
B cells,CD8 T cells,0,SupDAE-32-head-w2.0-noise0.10,test
CD14+ Monocytes,CD8 T cells,0,SupDAE-32-head-w2.0-noise0.10,test
CD4 T cells,CD8 T cells,94,SupDAE-32-head-w2.0-noise0.10,test
CD8 T cells,CD8 T cells,428,SupDAE-32-head-w2.0-noise0.10,test
Dendritic cells,CD8 T cells,0,SupDAE-32-head-w2.0-noise0.10,test
FCGR3A+ Monocytes,CD8 T cells,2,SupDAE-32-head-w2.0-noise0.10,test
Megakaryocytes,CD8 T cells,0,SupDAE-32-head-w2.0-noise0.10,test
NK cells,CD8 T cells,53,SupDAE-32-head-w2.0-noise0.10,test
B cells,Dendritic cells,0,SupDAE-32-head-w2.0-noise0.10,test
CD14+ Monocytes,Dendritic cells,0,SupDAE-32-head-w2.0-noise0.10,test
CD4 T cells,Dendritic cells,0,SupDAE-32-head-w2.0-noise0.10,test
CD8 T cells,Dendritic cells,0,SupDAE-32-head-w2.0-noise0.10,test
Dendritic cells,Dendritic cells,57,SupDAE-32-head-w2.0-noise0.10,test
FCGR3A+ Monocytes,Dendritic cells,1,SupDAE-32-head-w2.0-noise0.10,test
Megakaryocytes,Dendritic cells,0,SupDAE-32-head-w2.0-noise0.10,test
NK cells,Dendritic cells,0,SupDAE-32-head-w2.0-noise0.10,test
B cells,FCGR3A+ Monocytes,0,SupDAE-32-head-w2.0-noise0.10,test
CD14+ Monocytes,FCGR3A+ Monocytes,27,SupDAE-32-head-w2.0-noise0.10,test
CD4 T cells,FCGR3A+ Monocytes,0,SupDAE-32-head-w2.0-noise0.10,test
CD8 T cells,FCGR3A+ Monocytes,0,SupDAE-32-head-w2.0-noise0.10,test
Dendritic cells,FCGR3A+ Monocytes,1,SupDAE-32-head-w2.0-noise0.10,test
FCGR3A+ Monocytes,FCGR3A+ Monocytes,262,SupDAE-32-head-w2.0-noise0.10,test
Megakaryocytes,FCGR3A+ Monocytes,3,SupDAE-32-head-w2.0-noise0.10,test
NK cells,FCGR3A+ Monocytes,0,SupDAE-32-head-w2.0-noise0.10,test
B cells,Megakaryocytes,0,SupDAE-32-head-w2.0-noise0.10,test
CD14+ Monocytes,Megakaryocytes,0,SupDAE-32-head-w2.0-noise0.10,test
CD4 T cells,Megakaryocytes,0,SupDAE-32-head-w2.0-noise0.10,test
CD8 T cells,Megakaryocytes,0,SupDAE-32-head-w2.0-noise0.10,test
Dendritic cells,Megakaryocytes,0,SupDAE-32-head-w2.0-noise0.10,test
FCGR3A+ Monocytes,Megakaryocytes,1,SupDAE-32-head-w2.0-noise0.10,test
Megakaryocytes,Megakaryocytes,18,SupDAE-32-head-w2.0-noise0.10,test
NK cells,Megakaryocytes,0,SupDAE-32-head-w2.0-noise0.10,test
B cells,NK cells,0,SupDAE-32-head-w2.0-noise0.10,test
CD14+ Monocytes,NK cells,0,SupDAE-32-head-w2.0-noise0.10,test
CD4 T cells,NK cells,0,SupDAE-32-head-w2.0-noise0.10,test
CD8 T cells,NK cells,21,SupDAE-32-head-w2.0-noise0.10,test
Dendritic cells,NK cells,0,SupDAE-32-head-w2.0-noise0.10,test
FCGR3A+ Monocytes,NK cells,0,SupDAE-32-head-w2.0-noise0.10,test
Megakaryocytes,NK cells,0,SupDAE-32-head-w2.0-noise0.10,test
NK cells,NK cells,430,SupDAE-32-head-w2.0-noise0.10,test
