representation,classifier,split,n_cells,accuracy,balanced_accuracy,macro_f1,weighted_f1
PCA-50,Logistic Regression,val,5352,0.9166666666666666,0.8844186336992315,0.8418778554396158,0.9193514217827071
PCA-50,Logistic Regression,test,5353,0.922473379413413,0.9007771385482044,0.8576424052752051,0.9245740410847235
DAE-32,Logistic Regression,val,5352,0.8475336322869955,0.7860983908117727,0.741871316379425,0.8724577363454824
DAE-32,Logistic Regression,test,5353,0.8608257052120306,0.8155732153042421,0.7594499750049148,0.8824059880830297
