representation,classifier,split,n_cells,accuracy,balanced_accuracy,macro_f1,weighted_f1
PCA-50,Logistic Regression,val,5282,0.9254070427868232,0.9064830728207081,0.8502889661204223,0.9283584008096087
PCA-50,Logistic Regression,test,5283,0.9218247208025743,0.8940321347623869,0.8503612197773203,0.9244166304171628
DAE-32-LR-noise0.10,Logistic Regression,val,5282,0.873911397198031,0.8191540922535197,0.7604060050350001,0.8935139098798569
DAE-32-LR-noise0.10,Logistic Regression,test,5283,0.8640923717584705,0.7972977350249649,0.751629198328027,0.8840550933770064
