direction,n_train,n_test,n_genes,accuracy,macro_f1,weighted_f1
batch1_to_batch2,11432,24250,11940,0.9189690721649485,0.8233784132172246,0.9173648182747017
batch2_to_batch1,24250,11432,11940,0.9173372988103569,0.8752079278535517,0.9131095888377454
