true_label,predicted_label,count,representation,split
CD4 T cells,CD14+ Monocytes,0,SupDAE-32-head-noise0.10,val
CD8 T cells,CD14+ Monocytes,0,SupDAE-32-head-noise0.10,val
Dendritic cells,CD14+ Monocytes,10,SupDAE-32-head-noise0.10,val
FCGR3A+ Monocytes,CD14+ Monocytes,39,SupDAE-32-head-noise0.10,val
Megakaryocytes,CD14+ Monocytes,4,SupDAE-32-head-noise0.10,val
NK cells,CD14+ Monocytes,0,SupDAE-32-head-noise0.10,val
B cells,CD4 T cells,5,SupDAE-32-head-noise0.10,val
CD14+ Monocytes,CD4 T cells,1,SupDAE-32-head-noise0.10,val
CD4 T cells,CD4 T cells,2191,SupDAE-32-head-noise0.10,val
CD8 T cells,CD4 T cells,40,SupDAE-32-head-noise0.10,val
Dendritic cells,CD4 T cells,1,SupDAE-32-head-noise0.10,val
FCGR3A+ Monocytes,CD4 T cells,3,SupDAE-32-head-noise0.10,val
Megakaryocytes,CD4 T cells,10,SupDAE-32-head-noise0.10,val
NK cells,CD4 T cells,1,SupDAE-32-head-noise0.10,val
B cells,CD8 T cells,1,SupDAE-32-head-noise0.10,val
CD14+ Monocytes,CD8 T cells,0,SupDAE-32-head-noise0.10,val
CD4 T cells,CD8 T cells,80,SupDAE-32-head-noise0.10,val
CD8 T cells,CD8 T cells,432,SupDAE-32-head-noise0.10,val
Dendritic cells,CD8 T cells,1,SupDAE-32-head-noise0.10,val
FCGR3A+ Monocytes,CD8 T cells,1,SupDAE-32-head-noise0.10,val
Megakaryocytes,CD8 T cells,0,SupDAE-32-head-noise0.10,val
NK cells,CD8 T cells,61,SupDAE-32-head-noise0.10,val
B cells,Dendritic cells,0,SupDAE-32-head-noise0.10,val
CD14+ Monocytes,Dendritic cells,1,SupDAE-32-head-noise0.10,val
CD4 T cells,Dendritic cells,0,SupDAE-32-head-noise0.10,val
CD8 T cells,Dendritic cells,0,SupDAE-32-head-noise0.10,val
Dendritic cells,Dendritic cells,62,SupDAE-32-head-noise0.10,val
FCGR3A+ Monocytes,Dendritic cells,4,SupDAE-32-head-noise0.10,val
Megakaryocytes,Dendritic cells,0,SupDAE-32-head-noise0.10,val
NK cells,Dendritic cells,0,SupDAE-32-head-noise0.10,val
B cells,FCGR3A+ Monocytes,0,SupDAE-32-head-noise0.10,val
CD14+ Monocytes,FCGR3A+ Monocytes,12,SupDAE-32-head-noise0.10,val
CD4 T cells,FCGR3A+ Monocytes,0,SupDAE-32-head-noise0.10,val
CD8 T cells,FCGR3A+ Monocytes,0,SupDAE-32-head-noise0.10,val
Dendritic cells,FCGR3A+ Monocytes,2,SupDAE-32-head-noise0.10,val
FCGR3A+ Monocytes,FCGR3A+ Monocytes,262,SupDAE-32-head-noise0.10,val
Megakaryocytes,FCGR3A+ Monocytes,1,SupDAE-32-head-noise0.10,val
NK cells,FCGR3A+ Monocytes,0,SupDAE-32-head-noise0.10,val
B cells,Megakaryocytes,0,SupDAE-32-head-noise0.10,val
CD14+ Monocytes,Megakaryocytes,0,SupDAE-32-head-noise0.10,val
CD4 T cells,Megakaryocytes,0,SupDAE-32-head-noise0.10,val
CD8 T cells,Megakaryocytes,1,SupDAE-32-head-noise0.10,val
Dendritic cells,Megakaryocytes,0,SupDAE-32-head-noise0.10,val
FCGR3A+ Monocytes,Megakaryocytes,0,SupDAE-32-head-noise0.10,val
Megakaryocytes,Megakaryocytes,17,SupDAE-32-head-noise0.10,val
NK cells,Megakaryocytes,0,SupDAE-32-head-noise0.10,val
B cells,NK cells,0,SupDAE-32-head-noise0.10,val
CD14+ Monocytes,NK cells,0,SupDAE-32-head-noise0.10,val
CD4 T cells,NK cells,1,SupDAE-32-head-noise0.10,val
CD8 T cells,NK cells,26,SupDAE-32-head-noise0.10,val
Dendritic cells,NK cells,0,SupDAE-32-head-noise0.10,val
FCGR3A+ Monocytes,NK cells,1,SupDAE-32-head-noise0.10,val
Megakaryocytes,NK cells,1,SupDAE-32-head-noise0.10,val
NK cells,NK cells,422,SupDAE-32-head-noise0.10,val
B cells,B cells,542,SupDAE-32-head-noise0.10,test
CD14+ Monocytes,B cells,0,SupDAE-32-head-noise0.10,test
CD4 T cells,B cells,3,SupDAE-32-head-noise0.10,test
CD8 T cells,B cells,1,SupDAE-32-head-noise0.10,test
Dendritic cells,B cells,6,SupDAE-32-head-noise0.10,test
FCGR3A+ Monocytes,B cells,3,SupDAE-32-head-noise0.10,test
Megakaryocytes,B cells,4,SupDAE-32-head-noise0.10,test
NK cells,B cells,0,SupDAE-32-head-noise0.10,test
B cells,CD14+ Monocytes,0,SupDAE-32-head-noise0.10,test
CD14+ Monocytes,CD14+ Monocytes,1015,SupDAE-32-head-noise0.10,test
CD4 T cells,CD14+ Monocytes,1,SupDAE-32-head-noise0.10,test
CD8 T cells,CD14+ Monocytes,0,SupDAE-32-head-noise0.10,test
Dendritic cells,CD14+ Monocytes,15,SupDAE-32-head-noise0.10,test
FCGR3A+ Monocytes,CD14+ Monocytes,40,SupDAE-32-head-noise0.10,test
Megakaryocytes,CD14+ Monocytes,2,SupDAE-32-head-noise0.10,test
NK cells,CD14+ Monocytes,1,SupDAE-32-head-noise0.10,test
B cells,CD4 T cells,10,SupDAE-32-head-noise0.10,test
CD14+ Monocytes,CD4 T cells,0,SupDAE-32-head-noise0.10,test
CD4 T cells,CD4 T cells,2180,SupDAE-32-head-noise0.10,test
CD8 T cells,CD4 T cells,52,SupDAE-32-head-noise0.10,test
Dendritic cells,CD4 T cells,3,SupDAE-32-head-noise0.10,test
FCGR3A+ Monocytes,CD4 T cells,3,SupDAE-32-head-noise0.10,test
Megakaryocytes,CD4 T cells,10,SupDAE-32-head-noise0.10,test
NK cells,CD4 T cells,1,SupDAE-32-head-noise0.10,test
B cells,CD8 T cells,0,SupDAE-32-head-noise0.10,test
CD14+ Monocytes,CD8 T cells,0,SupDAE-32-head-noise0.10,test
CD4 T cells,CD8 T cells,90,SupDAE-32-head-noise0.10,test
CD8 T cells,CD8 T cells,424,SupDAE-32-head-noise0.10,test
Dendritic cells,CD8 T cells,0,SupDAE-32-head-noise0.10,test
FCGR3A+ Monocytes,CD8 T cells,2,SupDAE-32-head-noise0.10,test
Megakaryocytes,CD8 T cells,0,SupDAE-32-head-noise0.10,test
NK cells,CD8 T cells,50,SupDAE-32-head-noise0.10,test
