representation,classifier,split,n_cells,accuracy,balanced_accuracy,macro_f1,weighted_f1
PCA-50,Logistic Regression,val,5282,0.9254070427868232,0.9064830728207081,0.8502889661204223,0.9283584008096087
PCA-50,Logistic Regression,test,5283,0.9218247208025743,0.8940321347623869,0.8503612197773203,0.9244166304171628
SupDAE-32-head-w2.0-noise0.10,Supervised Head,val,5282,0.9373343430518742,0.8369739129500993,0.8656912740542132,0.9372208024807915
SupDAE-32-head-w2.0-noise0.10,Supervised Head,test,5283,0.9329926178307779,0.8352838701290263,0.8671329593739787,0.9330378886754287
